"","Year","week","Restrictions","Crisis calls"
"1","2019","Mar 1 - Mar 7","Minimal restrictions",1237
"2","2019","Mar 8 - Mar 14","Minimal restrictions",1278
"3","2019","Mar 15 - Mar 21","Lockdown",1271
"4","2019","Mar 22 - Mar 28","Lockdown",1249
"5","2019","Mar 29 - Apr 4","Lockdown",1250
"6","2019","Apr 5 - Apr 11","Lockdown",1235
"7","2019","Apr 12 - Apr 18","Lockdown",1041
"8","2019","Apr 19 - Apr 25","Lockdown",1279
"9","2019","Apr 26 - May 2","Lockdown",1145
"10","2019","May 3 - May 9","Easing restrictions",1177
"11","2019","May 10 - May 16","Easing restrictions",1099
"12","2019","May 17 - May 23","Easing restrictions",1192
"13","2019","May 24 - May 30","Easing restrictions",1194
"14","2019","May 31 - June 6","Easing restrictions",1145
"15","2019","June 7 - June 13","Minimal restrictions",1088
"16","2019","June 14 - June 20","Minimal restrictions",1080
"17","2019","June 21 - June 27","Minimal restrictions",1165
"18","2019","June 28 - July 4","Minimal restrictions",1038
"19","2019","July 5 - July 11","Minimal restrictions",1109
"20","2019","July 12 - July 18","Minimal restrictions",789
"21","2019","July 19 - July 25","Minimal restrictions",1026
"22","2019","July 26 -  Aug 1","Minimal restrictions",1061
"23","2019","Aug 2 - Aug 8","Minimal restrictions",1055
"24","2019","Aug 9 - Aug 15","Minimal restrictions",1036
"25","2019","Aug 16 - Aug 22","Minimal restrictions",1070
"26","2019","Aug 23 - Aug 29","Minimal restrictions",961
"27","2019","Aug 30 - Sep 5","Minimal restrictions",984
"28","2020","Mar 1 - Mar 7","Minimal restrictions",1165
"29","2020","Mar 8 - Mar 14","Minimal restrictions",1177
"30","2020","Mar 15 - Mar 21","Lockdown",1144
"31","2020","Mar 22 - Mar 28","Lockdown",1037
"32","2020","Mar 29 - Apr 4","Lockdown",1068
"33","2020","Apr 5 - Apr 11","Lockdown",1026
"34","2020","Apr 12 - Apr 18","Lockdown",1043
"35","2020","Apr 19 - Apr 25","Lockdown",1006
"36","2020","Apr 26 - May 2","Lockdown",955
"37","2020","May 3 - May 9","Easing restrictions",1122
"38","2020","May 10 - May 16","Easing restrictions",1018
"39","2020","May 17 - May 23","Easing restrictions",1032
"40","2020","May 24 - May 30","Easing restrictions",991
"41","2020","May 31 - June 6","Easing restrictions",1038
"42","2020","June 7 - June 13","Minimal restrictions",1308
"43","2020","June 14 - June 20","Minimal restrictions",1334
"44","2020","June 21 - June 27","Minimal restrictions",1417
"45","2020","June 28 - July 4","Minimal restrictions",1424
"46","2020","July 5 - July 11","Minimal restrictions",1442
"47","2020","July 12 - July 18","Minimal restrictions",1485
"48","2020","July 19 - July 25","Minimal restrictions",911
"49","2020","July 26 -  Aug 1","Minimal restrictions",1328
"50","2020","Aug 2 - Aug 8","Minimal restrictions",1309
"51","2020","Aug 9 - Aug 15","Minimal restrictions",1381
"52","2020","Aug 16 - Aug 22","Minimal restrictions",1435
"53","2020","Aug 23 - Aug 29","Minimal restrictions",1403
"54","2020","Aug 30 - Sep 5","Minimal restrictions",1345
