date,smh,grh,cmh,total,Year
2019-03-05,158,197,147,502,2019
2019-03-06,166,192,141,499,2019
2019-03-07,152,181,151,484,2019
2019-03-08,142,189,152,483,2019
2019-03-09,128,169,124,421,2019
2019-03-10,140,199,144,483,2019
2019-03-11,179,220,165,564,2019
2019-03-12,185,204,161,550,2019
2019-03-13,154,187,151,492,2019
2019-03-14,148,172,149,469,2019
2019-03-15,142,187,164,493,2019
2019-03-16,130,181,143,454,2019
2019-03-17,157,213,148,518,2019
2019-03-18,167,211,157,535,2019
2019-03-19,150,206,150,506,2019
2019-03-20,168,207,136,511,2019
2019-03-21,153,193,132,478,2019
2019-03-22,156,191,132,479,2019
2019-03-23,145,183,135,463,2019
2019-03-24,156,196,135,487,2019
2019-03-25,155,219,149,523,2019
2019-03-26,166,185,149,500,2019
2019-03-27,155,184,140,479,2019
2019-03-28,138,193,151,482,2019
2019-03-29,163,194,140,497,2019
2019-03-30,167,200,139,506,2019
2019-03-31,130,172,146,448,2019
2019-04-01,164,206,133,503,2019
2019-04-02,172,181,156,509,2019
2019-04-03,136,202,134,472,2019
2019-04-04,153,192,149,494,2019
2019-04-05,139,188,135,462,2019
2019-04-06,151,198,135,484,2019
2019-04-07,163,196,143,502,2019
2019-04-08,187,211,159,557,2019
2019-04-09,163,206,149,518,2019
2019-04-10,162,208,154,524,2019
2019-04-11,143,168,121,432,2019
2019-04-12,167,174,141,482,2019
2019-04-13,165,211,129,505,2019
2019-04-14,160,178,128,466,2019
2019-04-15,176,217,152,545,2019
2019-04-16,154,189,140,483,2019
2019-04-17,153,183,138,474,2019
2019-04-18,166,208,143,517,2019
2019-04-19,154,177,131,462,2019
2019-04-20,176,183,136,495,2019
2019-04-21,155,193,145,493,2019
2019-04-22,176,199,173,548,2019
2019-04-23,156,214,160,530,2019
2019-04-24,153,208,148,509,2019
2019-04-25,155,187,160,502,2019
2019-04-26,161,197,127,485,2019
2019-04-27,126,176,113,415,2019
2019-04-28,145,187,140,472,2019
2019-04-29,147,189,136,472,2019
2019-04-30,161,194,142,497,2019
2019-05-01,162,176,149,487,2019
2019-05-02,156,187,123,466,2019
2019-05-03,140,189,129,458,2019
2019-05-04,134,187,149,470,2019
2019-05-05,156,200,122,478,2019
2019-05-06,162,203,149,514,2019
2019-05-07,156,203,154,513,2019
2019-05-08,143,176,137,456,2019
2019-05-09,138,185,126,449,2019
2019-05-10,147,195,136,478,2019
2019-05-11,125,170,122,417,2019
2019-05-12,128,177,132,437,2019
2019-05-13,155,202,142,499,2019
2019-05-14,155,179,139,473,2019
2019-05-15,143,186,144,473,2019
2019-05-16,141,185,138,464,2019
2019-05-17,155,183,153,491,2019
2019-05-18,142,169,139,450,2019
2019-05-19,140,178,136,454,2019
2019-05-20,164,190,164,518,2019
2019-05-21,162,225,161,548,2019
2019-05-22,144,194,134,472,2019
2019-05-23,144,191,142,477,2019
2019-05-24,159,172,133,464,2019
2019-05-25,130,177,129,436,2019
2019-05-26,140,186,156,482,2019
2019-05-27,143,200,169,512,2019
2019-05-28,167,198,139,504,2019
2019-05-29,142,180,153,475,2019
2019-05-30,143,170,122,435,2019
2019-05-31,152,183,145,480,2019
2019-06-01,141,177,140,458,2019
2019-06-02,159,174,120,453,2019
2019-06-03,170,208,156,534,2019
2019-06-04,154,189,144,487,2019
2019-06-05,156,176,136,468,2019
2019-06-06,147,186,165,498,2019
2019-06-07,129,190,150,469,2019
2019-06-08,157,210,149,516,2019
2019-06-09,155,206,157,518,2019
2019-06-10,174,201,168,543,2019
2019-06-11,147,221,143,511,2019
2019-06-12,153,184,160,497,2019
2019-06-13,158,208,166,532,2019
2019-06-14,153,192,146,491,2019
2019-06-15,154,188,123,465,2019
2019-06-16,143,189,159,491,2019
2019-06-17,177,209,160,546,2019
2019-06-18,168,230,165,563,2019
2019-06-19,158,189,163,510,2019
2019-06-20,148,196,146,490,2019
2019-06-21,149,185,141,475,2019
2019-06-22,144,185,131,460,2019
2019-06-23,163,226,152,541,2019
2019-06-24,162,207,165,534,2019
2019-06-25,154,206,166,526,2019
2019-06-26,154,180,139,473,2019
2019-06-27,162,222,137,521,2019
2019-06-28,159,186,155,500,2019
2019-06-29,155,197,143,495,2019
2019-06-30,144,192,153,489,2019
2019-07-01,149,201,129,479,2019
2019-07-02,170,195,159,524,2019
2019-07-03,150,203,137,490,2019
2019-07-04,154,210,147,511,2019
2019-07-05,161,220,143,524,2019
2019-07-06,124,184,139,447,2019
2019-07-07,151,212,148,511,2019
2019-07-08,158,218,169,545,2019
2019-07-09,159,190,131,480,2019
2019-07-10,169,203,141,513,2019
2019-07-11,139,212,125,476,2019
2019-07-12,137,189,157,483,2019
2019-07-13,144,177,132,453,2019
2019-07-14,134,177,120,431,2019
2019-07-15,140,213,147,500,2019
2019-07-16,149,190,153,492,2019
2019-07-17,142,178,142,462,2019
2019-07-18,130,196,135,461,2019
2019-07-19,141,171,158,470,2019
2019-07-20,140,172,115,427,2019
2019-07-21,162,188,154,504,2019
2019-07-22,164,224,141,529,2019
2019-07-23,138,196,143,477,2019
2019-07-24,156,188,150,494,2019
2019-07-25,153,200,156,509,2019
2019-07-26,130,182,128,440,2019
2019-07-27,135,185,136,456,2019
2019-07-28,151,189,126,466,2019
2019-07-29,156,200,155,511,2019
2019-07-30,151,193,141,485,2019
2019-07-31,141,200,142,483,2019
2019-08-01,151,180,139,470,2019
2019-08-02,151,185,157,493,2019
2019-08-03,153,175,125,453,2019
2019-08-04,163,177,147,487,2019
2019-08-05,154,197,161,512,2019
2019-08-06,170,197,157,524,2019
2019-08-07,157,176,146,479,2019
2019-08-08,157,187,144,488,2019
2019-08-09,153,180,130,463,2019
2019-08-10,149,177,128,454,2019
2019-08-11,157,194,130,481,2019
2019-08-12,171,192,140,503,2019
2019-08-13,143,180,133,456,2019
2019-08-14,138,181,123,442,2019
2019-08-15,128,164,139,431,2019
2019-08-16,129,166,137,432,2019
2019-08-17,158,182,134,474,2019
2019-08-18,142,191,132,465,2019
2019-08-19,160,204,165,529,2019
2019-08-20,139,197,115,451,2019
2019-08-21,156,190,136,482,2019
