,Year,week,Restrictions,Suicide attempt,Intoxication,Assault,Domestic dispute,Total
1,2019,Mar 1 - Mar 7,Minimal restrictions,40,23,34,103,200
2,2019,Mar 8 - Mar 14,Minimal restrictions,41,23,34,104,202
3,2019,Mar 15 - Mar 21,Lockdown,93,30,38,135,296
4,2019,Mar 22 - Mar 28,Lockdown,46,30,38,135,249
5,2019,Mar 29 - Apr 4,Lockdown,47,0,0,0,47
6,2019,Apr 5 - Apr 11,Lockdown,48,19,23,107,197
7,2019,Apr 12 - Apr 18,Lockdown,49,20,30,135,234
8,2019,Apr 19 - Apr 25,Lockdown,39,14,34,113,200
9,2019,Apr 26 - May 2,Lockdown,59,19,26,121,225
10,2019,May 3 - May 9,Easing restrictions,40,20,47,114,221
11,2019,May 10 - May 16,Easing restrictions,53,20,17,128,218
12,2019,May 17 - May 23,Easing restrictions,32,22,29,139,222
13,2019,May 24 - May 30,Easing restrictions,37,24,38,108,207
14,2019,May 31 - June 6,Easing restrictions,54,36,31,124,245
15,2019,June 7 - June 13,Minimal restrictions,40,20,47,120,227
16,2019,June 14 - June 20,Minimal restrictions,63,18,44,140,265
17,2019,June 21 - June 27,Minimal restrictions,49,25,36,132,242
18,2019,June 28 - July 4,Minimal restrictions,46,31,32,153,262
19,2019,July 5 - July 11,Minimal restrictions,52,24,33,142,251
20,2019,July 12 - July 18,Minimal restrictions,52,25,33,143,253
21,2019,July 19 - July 25,Minimal restrictions,38,20,30,123,211
22,2019,July 26 -  Aug 1,Minimal restrictions,42,17,29,120,208
23,2019,Aug 2 - Aug 8,Minimal restrictions,37,29,31,119,216
24,2019,Aug 9 - Aug 15,Minimal restrictions,37,19,24,138,218
25,2019,Aug 16 - Aug 22,Minimal restrictions,40,16,28,120,204
26,2019,Aug 23 - Aug 29,Minimal restrictions,38,34,22,150,244
27,2019,Aug 30 - Sep 5,Minimal restrictions,36,27,36,143,242
28,2020,Mar 1 - Mar 7,Minimal restrictions,43,12,40,135,230
29,2020,Mar 8 - Mar 14,Minimal restrictions,46,10,31,136,223
30,2020,Mar 15 - Mar 21,Lockdown,35,18,28,137,218
31,2020,Mar 22 - Mar 28,Lockdown,45,7,11,131,194
32,2020,Mar 29 - Apr 4,Lockdown,30,18,20,111,179
33,2020,Apr 5 - Apr 11,Lockdown,33,7,17,143,200
34,2020,Apr 12 - Apr 18,Lockdown,28,5,20,120,173
35,2020,Apr 19 - Apr 25,Lockdown,31,16,20,143,210
36,2020,Apr 26 - May 2,Lockdown,29,14,25,131,199
37,2020,May 3 - May 9,Easing restrictions,30,5,31,112,178
38,2020,May 10 - May 16,Easing restrictions,39,11,15,128,193
39,2020,May 17 - May 23,Easing restrictions,34,12,27,127,200
40,2020,May 24 - May 30,Easing restrictions,31,11,30,124,196
41,2020,May 31 - June 6,Easing restrictions,42,22,34,112,210
42,2020,June 7 - June 13,Minimal restrictions,45,9,22,141,217
43,2020,June 14 - June 20,Minimal restrictions,33,9,31,126,199
44,2020,June 21 - June 27,Minimal restrictions,45,14,28,132,219
45,2020,June 28 - July 4,Minimal restrictions,42,17,23,133,215
46,2020,July 5 - July 11,Minimal restrictions,44,9,33,142,228
47,2020,July 12 - July 18,Minimal restrictions,49,13,45,132,239
48,2020,July 19 - July 25,Minimal restrictions,38,8,35,116,197
49,2020,July 26 -  Aug 1,Minimal restrictions,45,13,36,118,212
50,2020,Aug 2 - Aug 8,Minimal restrictions,47,9,29,150,235
51,2020,Aug 9 - Aug 15,Minimal restrictions,38,19,43,142,242
52,2020,Aug 16 - Aug 22,Minimal restrictions,36,12,29,136,213
53,2020,Aug 23 - Aug 29,Minimal restrictions,37,15,23,137,212
54,2020,Aug 30 - Sep 5,Minimal restrictions,36,19,40,130,225
